iter	RMSE
0	14.07198533
1	13.24937283
2	12.40305557
3	11.78825794
4	11.22041065
5	10.67362758
6	10.20548694
7	9.744961746
8	9.288888733
9	8.851913153
10	8.472163798
11	8.234024276
12	7.962206035
13	7.65830199
14	7.428186168
15	7.207602272
16	6.992742568
17	6.831073319
18	6.673721533
19	6.560143142
20	6.451742133
21	6.35415123
22	6.254308196
23	6.16882126
24	6.094496808
25	6.016842237
26	5.956239198
27	5.901572978
28	5.852751328
29	5.819849177
30	5.787551509
31	5.746007085
32	5.707930815
33	5.684192355
34	5.655997773
35	5.627611064
36	5.603448149
37	5.580948008
38	5.567254123
39	5.546936884
40	5.527344666
41	5.506850537
42	5.494416556
43	5.474506623
44	5.457816792
45	5.437140776
46	5.424540636
47	5.411319621
48	5.397404812
49	5.382368169
50	5.373138585
51	5.361299887
52	5.354245118
53	5.334145835
54	5.32518152
55	5.310842369
56	5.303280252
57	5.291720472
58	5.285657542
59	5.26658713
60	5.259204541
61	5.242873694
62	5.235346254
63	5.221236574
64	5.216106906
65	5.21019265
66	5.204982189
67	5.193523138
68	5.184676962
69	5.171395534
70	5.161234171
71	5.153211791
72	5.14606632
73	5.140706791
74	5.132120349
75	5.125185792
76	5.117988179
77	5.112943357
78	5.103589694
79	5.094342096
80	5.090802806
81	5.08716805
82	5.082129517
83	5.06939677
84	5.059422304
85	5.051157337
86	5.039141831
87	5.032691366
88	5.027854116
89	5.014992162
90	5.010089193
91	5.004175529
92	5.001562238
93	4.993283321
94	4.988518223
95	4.979847756
96	4.973660014
97	4.963025427
98	4.956869163
99	4.949828004
