iter	Passed	Remaining
0	147	147481
1	148	74237
2	150	49920
3	153	38311
4	155	30863
5	156	25902
6	157	22345
7	158	19688
8	160	17620
9	161	15957
10	162	14606
11	163	13476
12	164	12523
13	166	11746
14	168	11068
15	169	10442
16	170	9886
17	172	9394
18	174	8989
19	175	8600
20	176	8247
21	178	7924
22	179	7625
23	181	7365
24	183	7137
25	184	6909
26	186	6703
27	187	6506
28	188	6318
29	189	6134
30	191	5971
31	192	5827
32	194	5689
33	195	5565
34	197	5450
35	199	5330
36	200	5214
37	201	5096
38	202	4989
39	203	4890
40	205	4799
41	206	4713
42	207	4628
43	209	4544
44	211	4479
45	212	4412
46	213	4337
47	215	4266
48	216	4198
49	217	4131
50	218	4068
51	219	4010
52	221	3952
53	222	3897
54	223	3844
55	225	3796
56	227	3757
57	228	3711
58	229	3662
59	230	3615
60	231	3570
61	233	3525
62	234	3482
63	235	3441
64	236	3401
65	237	3362
66	238	3326
67	241	3304
68	242	3274
69	243	3240
70	245	3206
71	246	3172
72	247	3139
73	248	3108
74	248	3070
75	250	3040
76	251	3011
77	252	2982
78	253	2954
79	254	2929
80	257	2919
81	258	2893
82	259	2867
83	260	2842
84	261	2817
85	262	2793
86	263	2770
87	265	2747
88	266	2724
89	267	2701
90	268	2680
91	270	2665
92	271	2652
93	273	2631
94	274	2611
95	277	2609
96	279	2600
97	281	2591
98	283	2578
99	288	2594
100	290	2583
101	292	2572
102	295	2574
103	314	2706
104	315	2690
105	320	2699
106	326	2722
107	327	2706
108	329	2692
109	330	2672
110	336	2697
111	339	2691
112	340	2675
113	342	2660
114	344	2649
115	346	2638
116	349	2639
117	351	2627
118	353	2614
119	354	2601
120	355	2584
121	357	2572
122	383	2732
123	385	2725
124	388	2716
125	390	2709
126	392	2701
127	399	2721
128	401	2710
129	403	2697
130	404	2684
131	405	2669
132	407	2656
133	409	2643
134	410	2630
135	411	2616
136	413	2604
137	415	2593
138	416	2582
139	419	2576
140	421	2566
141	422	2555
142	424	2542
143	425	2530
144	427	2522
145	429	2512
146	431	2503
147	433	2492
148	434	2481
149	435	2469
150	437	2457
151	438	2446
152	439	2435
153	441	2426
154	443	2416
155	443	2401
156	445	2390
157	446	2378
158	447	2367
159	449	2357
160	450	2347
161	451	2337
162	453	2326
163	454	2315
164	455	2305
165	457	2298
166	458	2288
167	460	2279
168	461	2270
169	463	2261
170	464	2251
171	465	2242
172	467	2232
173	468	2223
174	469	2214
175	471	2205
176	472	2196
177	473	2187
178	475	2180
179	476	2171
180	477	2162
181	479	2153
182	480	2144
183	481	2135
184	482	2126
185	484	2118
186	485	2109
187	486	2102
188	488	2094
189	489	2085
190	490	2078
191	492	2071
192	493	2064
193	495	2057
194	496	2050
195	497	2042
196	499	2035
197	501	2029
198	502	2022
199	503	2014
200	504	2007
201	506	1999
202	507	1992
203	508	1984
204	509	1977
205	511	1971
206	512	1963
207	513	1956
208	514	1948
209	516	1942
210	517	1935
211	518	1927
212	519	1920
213	521	1913
214	522	1906
215	523	1899
216	524	1892
217	526	1887
218	527	1881
219	529	1876
220	531	1873
221	533	1868
222	534	1863
223	536	1858
224	538	1853
225	539	1847
226	540	1841
227	541	1834
228	542	1827
229	544	1821
230	545	1817
231	547	1811
232	548	1804
233	549	1798
234	550	1791
235	551	1784
236	552	1778
237	553	1771
238	554	1764
239	555	1758
240	556	1751
241	557	1745
242	558	1738
243	559	1732
244	560	1726
245	561	1720
246	562	1714
247	563	1708
248	564	1702
249	565	1696
250	566	1690
251	567	1684
252	568	1678
253	569	1672
254	570	1666
255	571	1660
256	572	1655
257	573	1649
258	574	1644
259	575	1638
260	576	1632
261	577	1627
262	578	1621
263	579	1616
264	580	1610
265	581	1605
266	582	1599
267	583	1594
268	584	1589
269	586	1584
270	587	1579
271	588	1574
272	589	1570
273	590	1565
274	591	1560
275	593	1555
276	594	1550
277	595	1546
278	596	1541
279	597	1536
280	598	1531
281	599	1526
282	600	1521
283	601	1516
284	602	1512
285	603	1507
286	605	1503
287	606	1498
288	607	1493
289	608	1489
290	609	1484
291	610	1480
292	611	1475
293	612	1471
294	613	1467
295	614	1462
296	616	1458
297	617	1453
298	618	1449
299	619	1445
300	620	1440
301	621	1436
302	622	1432
303	623	1428
304	624	1424
305	626	1419
306	627	1415
307	628	1411
308	629	1407
309	630	1403
310	631	1399
311	632	1395
312	634	1391
313	635	1387
314	636	1383
315	637	1379
316	638	1375
317	639	1371
318	640	1367
319	641	1363
320	642	1360
321	644	1356
322	645	1352
323	646	1348
324	647	1344
325	648	1341
326	649	1337
327	650	1333
328	652	1329
329	653	1326
330	654	1322
331	655	1318
332	656	1314
333	657	1310
334	658	1307
335	659	1303
336	661	1300
337	662	1296
338	663	1293
339	664	1290
340	665	1286
341	666	1282
342	667	1279
343	668	1275
344	670	1272
345	671	1268
346	672	1265
347	673	1262
348	674	1258
349	675	1255
350	676	1251
351	678	1248
352	679	1245
353	680	1241
354	681	1238
355	682	1234
356	683	1231
357	685	1228
358	686	1225
359	687	1222
360	688	1218
361	689	1215
362	690	1212
363	691	1208
364	693	1205
365	694	1202
366	695	1199
367	696	1196
368	697	1192
369	698	1189
370	699	1186
371	700	1183
372	702	1180
373	703	1176
374	704	1173
375	705	1170
376	706	1167
377	707	1164
378	708	1161
379	710	1158
380	711	1155
381	712	1152
382	713	1149
383	714	1146
384	715	1143
385	716	1139
386	717	1136
387	718	1134
388	720	1130
389	721	1127
390	722	1125
391	723	1122
392	724	1119
393	725	1116
394	728	1116
395	731	1115
396	733	1114
397	735	1112
398	737	1110
399	738	1108
400	739	1105
401	740	1102
402	742	1099
403	743	1096
404	744	1093
405	745	1090
406	746	1087
407	747	1084
408	748	1081
409	749	1078
410	750	1075
411	751	1072
412	753	1070
413	754	1067
414	755	1064
415	756	1061
416	757	1058
417	758	1056
418	759	1053
419	760	1050
420	762	1048
421	763	1045
422	764	1042
423	765	1039
424	766	1036
425	767	1034
426	768	1031
427	769	1028
428	771	1026
429	772	1023
430	773	1020
